signal,length_mm,corner,z0_ohm,driver_ohm,series_ohm,load_pf,driver_rise_ns,input_pulldown_ohm,pulldown_dc_current_at_3p3_ua,pulldown_rc_at_10pf_us,maximum_v,minimum_v,overshoot_pct,threshold_75pct_ns,rise_10_90_ns,settle_10pct_ns
B_GPIO15,15.08,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.759,2.48,3.224
B_GPIO16,9.62,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.5073,0.0,6.28,0.68,0.58,0.809
B_GPIO16,9.62,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3129,0.0,0.39,1.395,1.22,1.626
B_GPIO16,9.62,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,3.8894,0.0,17.86,0.796,0.562,1.502
B_GPIO16,9.62,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.738,2.5,3.207
B_GPIO17,15.91,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.6768,0.0,11.42,0.69,0.526,1.164
B_GPIO17,15.91,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.371,0.0,2.15,1.412,1.185,1.64
B_GPIO17,15.91,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,4.2666,0.0,29.29,0.867,0.571,2.528
B_GPIO17,15.91,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.763,2.477,3.227
B_GPIO18,10.46,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.5245,0.0,6.8,0.679,0.572,0.807
B_GPIO18,10.46,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3195,0.0,0.59,1.397,1.215,1.628
B_GPIO18,10.46,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,3.9488,0.0,19.66,0.805,0.562,1.551
B_GPIO18,10.46,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.741,2.497,3.209
B_GPIO4,15.02,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.6483,0.0,10.56,0.686,0.531,1.127
B_GPIO4,15.02,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3623,0.0,1.89,1.409,1.19,1.638
B_GPIO4,15.02,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,4.2213,0.0,27.92,0.857,0.569,2.432
B_GPIO4,15.02,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.759,2.48,3.224
B_GPIO5,8.5,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.486,0.0,5.64,0.682,0.591,0.811
B_GPIO5,8.5,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3054,0.0,0.16,1.391,1.226,1.623
B_GPIO5,8.5,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,3.806,0.0,15.33,0.784,0.565,1.431
B_GPIO5,8.5,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.733,2.504,3.203
B_GPIO6,13.94,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.6147,0.0,9.54,0.683,0.539,0.798
B_GPIO6,13.94,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3517,0.0,1.57,1.406,1.195,1.636
B_GPIO6,13.94,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,4.1637,0.0,26.17,0.845,0.566,1.728
B_GPIO6,13.94,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.755,2.484,3.221
B_GPIO7,7.93,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.4753,0.0,5.31,0.683,0.595,0.811
B_GPIO7,7.93,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3026,0.0,0.08,1.389,1.23,1.622
B_GPIO7,7.93,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,3.7621,0.0,14.0,0.778,0.567,1.39
B_GPIO7,7.93,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.731,2.507,3.202
